oligo_index,total_copies
0,5
1,14
2,12
3,6
4,9
5,8
6,14
7,9
8,14
9,6
10,7
11,14
12,12
13,10
14,8
15,9
16,6
17,7
18,7
19,12
20,11
21,13
22,9
23,11
24,9
25,6
26,9
27,13
28,14
29,9
30,13
31,9
32,13
33,15
34,14
35,14
36,9
37,7
38,7
39,8
40,9
41,8
42,9
43,11
44,12
45,15
46,11
47,9
48,5
49,8
50,11
51,10
52,5
53,14
54,6
55,8
56,8
57,7
58,9
59,8
60,9
61,10
62,6
63,11
64,13
65,10
66,11
67,11
68,8
69,5
70,6
71,12
72,11
73,7
74,11
75,12
76,7
77,9
78,14
79,9
80,7
81,10
82,13
83,11
84,10
85,8
86,10
87,10
88,6
89,13
90,11
91,7
92,14
93,11
94,5
95,11
96,11
97,8
98,8
99,12
100,9
101,10
102,13
103,13
104,11
105,5
106,11
107,8
108,12
109,10
110,11
111,12
112,9
113,9
114,10
115,11
116,8
117,10
118,10
119,11
120,9
121,10
122,12
123,10
124,7
125,11
126,11
127,10
128,11
129,7
130,4
131,14
132,12
133,7
134,6
135,7
136,10
137,11
138,10
139,9
140,10
141,12
142,8
143,8
144,7
145,10
146,8
147,8
148,12
149,10
150,7
151,5
152,6
153,9
154,9
155,8
156,9
157,7
158,7
159,8
160,7
161,8
162,7
163,9
164,10
165,13
166,11
167,8
168,9
169,12
170,6
171,9
172,9
173,10
174,13
175,11
176,9
177,13
178,10
179,10
180,8
181,12
182,9
183,14
184,16
185,7
186,11
187,11
188,10
189,12
190,7
191,10
192,9
193,11
194,7
195,7
196,12
197,6
198,4
199,9
200,12
201,8
202,9
203,12
204,10
205,9
206,8
207,11
208,8
209,9
210,10
211,6
212,10
213,8
214,6
215,7
216,4
217,7
218,12
219,12
220,7
221,13
222,11
223,10
224,14
225,8
226,13
227,11
228,13
229,10
230,11
231,7
232,10
233,9
234,11
235,9
236,9
237,9
238,6
239,8
240,9
241,11
242,12
243,16
244,9
245,9
246,14
247,6
248,12
249,12
250,5
251,9
252,6
253,7
254,10
255,6
256,7
257,6
258,7
259,10
260,7
261,7
262,12
263,10
264,14
265,13
266,8
267,13
268,7
269,13
270,9
271,8
272,10
273,11
274,10
275,6
276,10
277,11
278,7
279,8
280,11
281,6
282,13
283,8
284,12
285,13
286,6
287,8
288,8
289,13
290,8
291,6
292,13
293,10
294,11
295,13
296,8
297,7
298,15
299,9
300,12
301,9
302,10
303,8
304,14
305,9
306,7
307,8
308,8
309,10
310,6
311,12
312,13
313,12
314,4
315,10
316,8
317,8
318,15
319,11
320,8
321,12
322,12
323,12
324,8
325,9
326,11
327,11
328,9
329,5
330,10
331,5
332,11
333,11
334,12
335,7
336,12
337,10
338,11
339,8
340,7
341,12
342,8
343,12
344,11
345,10
346,13
347,8
348,9
349,6
350,14
351,13
352,7
353,9
354,7
355,6
356,13
357,11
358,14
359,9
360,6
361,12
362,10
363,11
364,8
365,9
366,13
367,11
368,9
369,12
370,10
371,11
372,11
373,11
374,10
375,9
376,8
377,10
378,8
379,10
380,10
381,7
382,11
383,12
384,11
385,10
386,12
387,12
388,8
389,13
390,7
391,14
392,10
393,7
394,8
395,9
396,9
397,7
398,17
399,10
400,7
401,12
402,10
403,6
404,10
405,8
406,6
407,8
408,9
409,7
410,12
411,11
412,10
413,8
414,7
415,12
416,8
417,8
418,12
419,11
420,6
421,13
422,13
423,9
424,13
425,12
426,11
427,13
428,8
429,11
430,6
431,12
432,9
433,14
434,6
435,13
436,9
437,13
438,14
439,12
440,10
441,12
442,12
443,9
444,8
445,6
446,8
447,9
448,3
449,15
450,5
451,9
452,15
453,5
454,9
455,12
456,10
457,13
458,3
459,7
460,11
461,14
462,9
463,9
464,6
465,6
466,9
467,9
468,12
469,14
470,10
471,4
472,5
473,12
474,13
475,12
476,8
477,7
478,8
479,14
480,15
481,13
482,11
483,8
484,5
485,7
486,8
487,10
488,14
489,8
490,11
491,11
492,16
493,8
494,13
495,10
496,10
497,14
498,9
499,7
500,7
501,11
502,8
503,19
504,8
505,8
506,8
507,8
508,8
509,13
510,7
511,15
512,10
513,9
514,14
515,8
516,9
517,12
518,11
519,10
520,12
521,9
522,14
523,11
524,7
525,8
526,14
527,8
528,11
529,5
530,11
531,7
532,15
533,8
534,4
535,11
536,8
537,5
538,7
539,9
540,12
541,11
542,7
543,12
544,9
545,12
546,11
547,12
548,10
549,11
550,10
551,13
552,8
553,13
554,7
555,10
556,10
557,8
558,6
559,14
560,8
561,10
562,8
563,14
564,10
565,7
566,11
567,10
568,9
569,11
570,9
571,10
572,11
573,9
574,10
575,9
576,11
577,11
578,5
579,12
580,9
581,9
582,10
583,13
584,12
585,8
586,13
587,13
588,7
589,12
590,6
591,6
592,12
593,6
594,6
595,8
596,9
597,7
598,13
599,8
600,10
601,7
602,6
603,8
604,11
605,11
606,12
607,14
608,14
609,5
610,7
611,14
612,9
613,10
614,10
615,7
616,9
617,13
618,6
619,16
620,9
621,14
622,8
623,7
624,6
625,13
626,10
627,8
628,13
629,8
630,10
631,9
632,12
633,6
634,10
635,8
636,12
637,14
638,6
639,10
640,9
641,9
642,5
643,8
644,11
645,11
646,5
647,7
648,12
649,12
650,11
651,7
652,10
653,12
654,6
655,15
656,14
657,8
658,10
659,9
660,8
661,8
662,11
663,10
664,10
665,13
666,12
667,4
668,11
669,12
670,5
671,8
672,10
673,10
674,9
675,7
676,7
677,17
678,5
679,12
680,9
681,9
682,12
683,8
684,8
685,12
686,13
687,10
688,9
689,9
690,9
691,12
692,11
693,8
694,13
695,11
696,10
697,13
698,11
699,10
700,10
701,12
702,10
703,9
704,9
705,11
706,8
707,9
708,12
709,13
710,8
711,9
712,10
713,11
714,8
715,12
716,9
717,6
718,7
719,12
720,6
721,15
722,11
723,13
724,10
725,9
726,13
727,10
728,11
729,7
